Name,Category,Price,Quantity,Expiration Date
Fish,Meat,0.91,10,26/03/2024
Pork,Meat,9.73,10,14/10/2025
Tuna,Canned Goods,6.68,10,19/05/2025
Orange,Fruits,6.88,10,23/01/2025
Fish,Meat,0.93,10,25/02/2025
Chips,Snacks,6,10,21/02/2024
Tuna,Canned Goods,1.16,10,10/04/2025
Soda,Beverages,9.58,10,20/12/2024
Spinach,Vegetables,9.29,10,26/03/2024
Cookies,Snacks,2.31,10,09/05/2024
Coffee,Beverages,4.23,10,08/07/2024
Soup,Canned Goods,5.01,10,11/04/2025
Nuts,Snacks,5.98,10,24/12/2024
Banana,Fruits,8.23,10,24/09/2025
Eggs,Dairy,2.14,10,06/01/2024
Turkey,Meat,4.12,10,20/04/2026
Soda,Beverages,0.58,10,01/09/2024
Butter,Dairy,4.93,10,28/05/2024
Broccoli,Vegetables,3.78,10,27/10/2026
Orange,Fruits,7.72,10,28/01/2024
Chicken,Meat,9.19,10,01/11/2026
Pork,Meat,6.8,10,24/09/2024
Apple,Fruits,9.14,10,11/11/2025
Pork,Meat,6.08,10,24/09/2025
Chicken,Meat,1.65,10,21/01/2026
Cheese,Dairy,1.77,10,22/10/2025
Spinach,Vegetables,4.62,10,08/02/2024
Beef,Meat,1.36,10,14/05/2025
Broccoli,Vegetables,9.62,10,26/01/2026
Orange,Fruits,1.51,10,23/08/2024
Strawberry,Fruits,0.58,10,20/07/2024
Fish,Meat,9.07,10,18/10/2024
Tomato Sauce,Canned Goods,5.27,10,16/12/2026
Strawberry,Fruits,2.85,10,15/05/2025
Butter,Dairy,7.65,10,20/02/2026
Butter,Dairy,0.89,10,22/03/2026
Cookies,Snacks,2.04,10,23/01/2026
Pork,Meat,3.42,10,09/08/2024
Potato,Vegetables,0.88,10,24/02/2025
Juice,Beverages,6.4,10,16/08/2024
Fish,Meat,9.38,10,06/05/2026
Milk,Dairy,2.3,10,24/02/2024
Tea,Beverages,1.5,10,27/09/2025
Fish,Meat,6.3,10,08/12/2026
Orange,Fruits,6.31,10,10/11/2024
Fish,Meat,7.91,10,26/12/2026
Soup,Canned Goods,6.46,10,21/01/2024
Eggs,Dairy,2.97,10,11/01/2024
Chips,Snacks,6.19,10,07/04/2026
Cheese,Dairy,7.07,10,13/07/2025
Carrot,Vegetables,5.78,10,13/06/2025
Yogurt,Dairy,6.3,10,16/06/2024
Coffee,Beverages,7.6,10,05/11/2026
Soup,Canned Goods,2.83,10,04/06/2025
Cheese,Dairy,8.97,10,15/08/2026
Butter,Dairy,9.9,10,10/01/2024
Tuna,Canned Goods,9.26,10,15/01/2026
Chips,Snacks,4.51,10,12/10/2024
Spinach,Vegetables,0.8,10,28/05/2024
Corn,Canned Goods,2.35,10,03/08/2026
Soda,Beverages,6.8,10,13/03/2026
Cookies,Snacks,5.94,10,05/03/2026
Strawberry,Fruits,5.87,10,13/05/2026
Apple,Fruits,4.18,10,14/11/2026
Grapes,Fruits,1.84,10,25/02/2025
Fish,Meat,1.73,10,16/09/2025
Fish,Meat,8.67,10,20/01/2024
Tea,Beverages,5.66,10,05/02/2024
Chips,Snacks,8.11,10,04/06/2024
Butter,Dairy,8.66,10,14/06/2026
Water,Beverages,8.91,10,20/04/2026
Juice,Beverages,2.12,10,27/04/2025
Beef,Meat,2.96,10,06/02/2024
Chicken,Meat,2.16,10,21/08/2025
Chicken,Meat,0.52,10,16/08/2026
Cookies,Snacks,7.06,10,04/10/2025
Cookies,Snacks,6.23,10,06/03/2026
Cheese,Dairy,2.42,10,25/05/2025
Cookies,Snacks,6.29,10,05/12/2026
Strawberry,Fruits,1.1,10,09/07/2025
Corn,Canned Goods,3.57,10,13/09/2025
Beans,Canned Goods,2.9,10,17/03/2026
Banana,Fruits,8.24,10,26/08/2025
Coffee,Beverages,7.62,10,23/09/2024
Tuna,Canned Goods,4.94,10,16/01/2026
Milk,Dairy,1.09,10,06/06/2025
Banana,Fruits,8.7,10,10/07/2025
Soup,Canned Goods,7.68,10,25/04/2025
Corn,Canned Goods,9,10,04/05/2026
Potato,Vegetables,9.93,10,27/08/2024
Tomato,Vegetables,9.02,10,23/07/2025
Juice,Beverages,9.7,10,08/07/2026
Tomato,Vegetables,8.29,10,08/03/2024
Cookies,Snacks,9.89,10,04/08/2025
Tea,Beverages,2.48,10,02/11/2024
Soup,Canned Goods,3.81,10,16/05/2026
Milk,Dairy,7.91,10,20/02/2026
Turkey,Meat,5.65,10,12/07/2025
Apple,Fruits,6.42,10,28/02/2026
Orange,Fruits,7.07,10,17/09/2025
Chips,Snacks,8.41,10,19/10/2024
Soup,Canned Goods,9.43,10,13/04/2026
Coffee,Beverages,9.66,10,18/03/2026
Turkey,Meat,9.81,10,19/02/2024
Tomato,Vegetables,3.46,10,15/08/2026
Spinach,Vegetables,7.26,10,03/03/2025
Chips,Snacks,6.38,10,24/11/2026
Tomato Sauce,Canned Goods,7.31,10,03/02/2024
Corn,Canned Goods,0.76,10,17/10/2024
Pork,Meat,5.53,10,18/02/2025
Pork,Meat,7.83,10,20/03/2025
Chocolate,Snacks,8.5,10,27/11/2025
Broccoli,Vegetables,3.97,10,05/09/2025
Soup,Canned Goods,3.57,10,17/03/2025
Spinach,Vegetables,4.56,10,24/12/2025
Coffee,Beverages,3.27,10,25/03/2025
Apple,Fruits,7.54,10,24/01/2026
Cookies,Snacks,6.73,10,19/09/2026
Apple,Fruits,1.12,10,15/01/2024
Beef,Meat,4.09,10,26/04/2024
Cookies,Snacks,7.16,10,03/08/2024
Juice,Beverages,9.64,10,07/09/2026
Soda,Beverages,7.7,10,12/08/2024
Popcorn,Snacks,7.09,10,05/06/2025
Spinach,Vegetables,1.8,10,25/12/2026
Fish,Meat,1.79,10,08/10/2024
Milk,Dairy,5.12,10,04/09/2026
Corn,Canned Goods,3.49,10,26/06/2024
Water,Beverages,4.19,10,23/03/2024
Strawberry,Fruits,9.46,10,23/11/2025
Tuna,Canned Goods,5.21,10,16/09/2025
Potato,Vegetables,5.99,10,21/12/2024
Spinach,Vegetables,3.88,10,26/02/2026
Eggs,Dairy,5.24,10,11/04/2026
Chips,Snacks,1.97,10,03/06/2025
Strawberry,Fruits,3.88,10,21/05/2025
Turkey,Meat,5.9,10,24/12/2026
Water,Beverages,3.14,10,26/02/2025
Tomato,Vegetables,1,10,20/03/2025
Beans,Canned Goods,7.26,10,04/03/2026
Soup,Canned Goods,4.04,10,20/02/2025
Potato,Vegetables,5.42,10,09/03/2026
Corn,Canned Goods,1.98,10,01/02/2025
Soup,Canned Goods,6.74,10,06/07/2025
Spinach,Vegetables,7.71,10,12/03/2025
Potato,Vegetables,4.49,10,15/01/2026
Cheese,Dairy,6.18,10,08/06/2025
Juice,Beverages,5.23,10,08/11/2025
Tomato,Vegetables,3.45,10,10/01/2025
Coffee,Beverages,1.88,10,15/09/2025
Tea,Beverages,6.73,10,07/08/2026
Soup,Canned Goods,5.2,10,10/02/2024
Chocolate,Snacks,9.24,10,21/02/2025
Chips,Snacks,8.11,10,15/05/2026
Apple,Fruits,2.37,10,17/09/2024
Juice,Beverages,8.25,10,27/05/2025
Popcorn,Snacks,5.01,10,04/04/2024
Potato,Vegetables,4.89,10,02/02/2026
