Name,Category,Price,Quantity,Expiration Date
Chocolate,Snacks,8.5,182,27/11/2025
Broccoli,Vegetables,3.97,172,05/09/2025
Soup,Canned Goods,3.57,185,17/03/2025
Spinach,Vegetables,4.56,198,24/12/2025
Coffee,Beverages,3.27,203,25/03/2025
Apple,Fruits,7.54,186,24/01/2026
Cookies,Snacks,6.73,176,19/09/2026
Apple,Fruits,1.12,181,15/01/2024
Beef,Meat,4.09,207,26/04/2024
Cookies,Snacks,7.16,237,03/08/2024
Juice,Beverages,9.64,241,07/09/2026
Soda,Beverages,7.7,241,12/08/2024
Popcorn,Snacks,7.09,204,05/06/2025
Spinach,Vegetables,1.8,159,25/12/2026
Fish,Meat,1.79,165,08/10/2024
Milk,Dairy,5.12,211,04/09/2026
Corn,Canned Goods,3.49,173,26/06/2024
Water,Beverages,4.19,239,23/03/2024
Strawberry,Fruits,9.46,219,23/11/2025
Tuna,Canned Goods,5.21,159,16/09/2025
Potato,Vegetables,5.99,214,21/12/2024
Spinach,Vegetables,3.88,152,26/02/2026
Eggs,Dairy,5.24,162,11/04/2026
Chips,Snacks,1.97,242,03/06/2025
Strawberry,Fruits,3.88,158,21/05/2025
Turkey,Meat,5.9,205,24/12/2026
Water,Beverages,3.14,235,26/02/2025
Tomato,Vegetables,1,210,20/03/2025
Beans,Canned Goods,7.26,170,04/03/2026
Soup,Canned Goods,4.04,173,20/02/2025
Potato,Vegetables,5.42,240,09/03/2026
Corn,Canned Goods,1.98,172,01/02/2025
Soup,Canned Goods,6.74,189,06/07/2025
Spinach,Vegetables,7.71,239,12/03/2025
Potato,Vegetables,4.49,186,15/01/2026
Cheese,Dairy,6.18,215,08/06/2025
Juice,Beverages,5.23,179,08/11/2025
Tomato,Vegetables,3.45,196,10/01/2025
Coffee,Beverages,1.88,173,15/09/2025
Tea,Beverages,6.73,244,07/08/2026
Soup,Canned Goods,5.2,165,10/02/2024
Chocolate,Snacks,9.24,214,21/02/2025
Chips,Snacks,8.11,224,15/05/2026
Apple,Fruits,2.37,236,17/09/2024
Juice,Beverages,8.25,173,27/05/2025
Popcorn,Snacks,5.01,174,04/04/2024
Potato,Vegetables,4.89,163,02/02/2026
